Box,Artist ,Additional Artist,Album,Sub,Notes,Other markings,
#1,Various,,Dixieland Jubilee,Vol 1,,,
#1,Various,,Delibes,"Collelia-Ballet Music, Sylvia-Ballet Music. Orchestre du Theatre National de l'opera Paris, Andre Cluytens",,,
#1,Various,,Contry and Western Winnders (Sampler),,,,
#1,Various,,Country Routes,,,,
#1,Various,with the Ralph Carmichael Singers and Orchestra and the songs of Bob Ashton,A Cozy Christmas,,,,
#1,Various,,Climax (Special Sampler),,,,
#1,Various,,Classical Masterpieces by Great Conductors,,,,
#1,Various,,Carols at Christmas,,,,
#2,Don Williams,,Expressions,,,,
#2,Leonard Bernstein ,The New York Philharmonic Orchestra,William Tell And Other Favourite Overtures,,,,
#2,Andy Williams,,Love Story,,,,
#2,Andy Williams,,The First Time Ever (I Saw Your Face),,,,
#2,Andy Williams,,Can't Help Falling In Love,,,,
#2,Roger Whittaker,,Whistle Stop!,,,,
#2,Roger Whittaker,,Durham Town,,,,
#2,Josh White,,Singer Supreme,,,,
#2,The Great Welsh Choirs,,Corau Mawr Cymru,,,,
#2,Lu Watters' Yerba Buena Jass Band,,The 50's Recordings,Volume One,,,
#2,Dionne Warwick,,The Greatest Hits Of,,3 Record Set,,
#2,Kai Warner,,Summer Dance,,,,
#2,Kai Warner,,Hits All The Way,,,,
#2,Die Schaumburger Märchensänger ,Obernkirchen Children's Choir,Mein Vater war ein Wandersmann,,,,
#2,The Waikiki Beach Boys,,South Sea Island Magic,,,,
#2,Wagner,,The World Of Opera,Highlights from Lohengrin,,,
#2,Karajan,The Berlin Philharmonic Orchestra,Conducts Wagner,Volume 1,,,
#2,Viva Manuel,,Viva Manuel,,,,
#2,Verdi,Eugene Ormandy / The Philadelphia Orchestra,Requiem,,2 Record Set,BRG 72297 / BRG 77298,
#2,Various,,Ultimate Stereo Presentation,,,,
#2,Bonnie Tyler,,The very best of,,,,
#2,Toscanini,,By Request,,,,
#2,Various,,Top Hits of 1970,Covers,,DEA1040,
#2,The Torero Band,,Tijuana Christmas (Sound of Brass),,,,
#2,The Three Degrees,,Take Good Care Of Yourself,,,,
#2,Irma La Douce,,Songs From the Threepenny Opera,,,,
#2,Tchaikovsky,London Symphony Orchestra,Symphony No 5,,,,
#2,Tchaikovsky,Bamberg Symphony,Symphony No 4,"in F Minor, Op 36",,,
#2,Tchaikovsky,London Symphony Orchestra,1812 Overture - Romeo And Juliet - Marche Slave,,,,
#2,Tchaikovsky,The Paris Conservatoire Orchestra,The Nutcracker,"Suites 1 & 2, OP 71",,,
#2,Various,,Take It Easy,,2 Record Set,,
#2,Various,,Smash Hits Sumprems Style,,,,
#2,Various,,Thrill To The Sensational Sound Of Super Stereo,,,,
#2,Various,,Super Stereo Sensation,,,,
#2,Monty Sunshine & His Band,,Shades of Sunshine,,,,
#2,Monty Sunshine's Jazz band,,Magic Is The Moonlight,,,,
#2,Barbra Streisand,,Love Songs,,,,
#2,Barbra Streisand,,Love Songs,,,,
#2,Frank Sinatra,,Frank Sinatra,,,ST 967,
#2,Frank Sinatra,,Greatest Hits,,,,
#2,Frank Sinatra,,The Sinatra Collection,,,,
#2,Frank Sinatra,,Nice 'n' Easy,,,,
#2,Sammi Smith,,The Entertainer,,,,
#2,Rodgers & Hammerstein,,The Sound Of Music (An Original Soundtrack Recording),,,,
#2,Johann Strauss,The Vienna State Opera Orchestra,Waltzes,,,,
#2,Barbra Streisand,,Songbird,,,,
#2,"Street Organ ""De Arabier",,Street Organ Plays International Favourites,,,,
#2,Richard Strauss,"Vienna Philharmonic Orchestra, Clemens Krauss","Don Quixote, Op. 35",,,ECS 609,
#2,Richard Strauss,,Four Last Songs,Capriccio - Closing Scene / Ariadne Auf Naxos - Ariadne's Aria,,ECM 778,
#2,Richard Strauss,,Excerpts from Richard Strauss's Operas,,,CM 70,
#2,Richard Strauss,"The Philadelphia Orchestra,  Eugene Ormandy",Also Sprach Zarathustra,,,ASD 3897,
#2,Richard Strauss,The New Promenade Concert Orchestra,More Music From the Strauss Family,,,2383 220,
#2,Stravinsky,Sir Eugene Goossens Conducting The London Symphony Orchestra,The Rite Of Spring,,,TP 159,
#2,Harry Stoneham And The Midnite Blue,,Late Night Lowrey,,,2344 040,
#2,St Pauls Choir,,Music From Son Et Lumiere at St Pauls ,,,NSPL 18286,
#2,Smetana,"Rudolf Schock, Kurt Böhme, Melitta Muszely",Highlights From The Bartered Bride,,,OHP 103,
#2,Sibelius,"Erik Tuxen, Thomas Jensen, The Danish State Radio Symphony Orchestra",Symphony No. 5,Karelia Suite,,ACL 72,
#2,Antonin Rejcha / Jan Hugo Voříšek,Prague Chamber Orchestra ‎,Symphony In E Flat Major / Symphony In D Major,,,SUA ST 50007,
#2,Joseph Haydn,"RIAS Symphonie-Orchester Berlin, Ferenc Fricsay",Symphony No. 95 In C Minor / Symphony No. 101 In D Major (The Clock),,,478 094,
#2, Verdi,"Giuseppe di Stefano, Tito Gobbi, Maria Meneghini Callas, Adriana Lazzarini, Plinio Clabassi, William Dickie, Renato Ercolani, Carlo Forti, Tullio Serafin, Norberto Mola",Rigoletto Highlights From The Complete Recording,,,33CX 1582,
#2,Verdi,"Verdi, Chorus* And Orchestra Of La Scala, Tullio Serafin, Norberto Mola ‎– Teatro Alla Scala",Verdi Opera Choruses,,,33CX 1376,
#2,Maria Callas,"Giuseppe di Stefano, Orchestra And Chorus Of La Scala Opera House, Milan, Conducted By Tullio Serafin ‎",Cavalleria Rusticana / I Pagliacci,,,33CX 1402,
#2,Various,,Stereo Musicale Showcase,,,104 450,
#2,Various,,This Is Stereo,,,643 308,
#2,Steeleye Span,,All Around My Hat,,,CHR 1091,
#2,The Torero Band,,Tijuana (Sound of Brass),,,MFP 1202,
#2,Nina Simone,,This is…,,,,
#2,Various,,Original Soundtrack: Doctor Zhivago,Metro-Goldwyn-Mayer presents A Carlo Ponti Production David Leans Film of Boris Pasternak's,,,
#2,Lena Zavaroni,,Ma! He's Making Eyes At Me,,,,
#2,Klaus Wunderlich,,Wunderlich Variations,Sound Variationen Mit Hertz,,,
#2,Klaus Wunderlich,,The Hit World Of Klaus Wunderlich,,,,
#2,Klaus Wunderlich,,Pop Party,Vol 1,,,
#2,Klaus Wunderlich,And His New Pop Organ Sound,Sudamericana 3,Latin Festival,,,
#2,Klaus Wunderlich,,Golden Hammond Pops,,,,
#2,Klaus Wunderlich,And His New Pop Organ Sound,Pops 7,,,,
#2,Klaus Wunderlich,,Sound 2000,,,,
#2,Klaus Wunderlich,,The Golden Sound Of,Hammond Fur Millionen 2,,,
#2,Klaus Wunderlich,And His New Pop Organ Sound,Pops 1,,,,
#2,Klaus Wunderlich,And His New Pop Organ Sound,Pops 3,,,,
#2,Klaus Wunderlich,,Hita Again 2,,,,
#2,Klaus Wunderlich,,Around The World With Klaus Wunderlich,,,,
#2,Klaus Wunderlich,,Hammond For Christmas,,,,
#2,Klaus Wunderlich,,The Golden Sound Of Hammond,,,,
#2,Klaus Wunderlich,,Golden Film Hits,,,,
#2,Klaus Wunderlich,,Unforgettable,Golden Classics,,,
#2,Various,,The World Of Steam,,,SPA-A-103,
#2,Various,"The Choir of Kings College, Cambridge",The World Of Christmas,,,,
#2,Mike & Bernie Winters,,in Toyland,,,,
#2,Slim Whitmen,,The Slim Whitman Collection,,2 Record Collection,,
#2,Louis De Rochemont,,windjammer,First presentation in cinemiracle original music score by morton Gould,,BBL7250,
#2,The Wicks Scottish Dance Band ,,The Sound of the North,,,STAL5007,
#2,Various,,The Alex Welsh Band Showcase.1,,,,
#2,Kai Warner,,Golden strings,,,SUPER2371507,
#2,Gwyl Yng Nghymru,,Holiday in Wales,,,SQUAD 105,
#2,The Rare Wagner,,Overtures and Marches,,,ASD2837,
#2,Emile Waldteufel,National Philharmonic Orchestra ,Waltzes,,,SXL6704,
#2,Various,,Trooping the colour,on Horse Guards Parade in Celebration of the offical birthday of Her Majesty the queen 1973,,spr90033,
#2,Stokowski/Wagner,London Symphony Orchestra,Masterpieces from the ring of thr Niebelung,,,PFS4116,
#2,Wout Steenhuis,,Meets The Kontikis,,,TWO187,
#3,Igor Oistrach,,Paganini,,,UACL 10003,
#3,Palestrina,"Czech Philharmonic Chorus, Josef Veselka, Prague Madrigal Singers, Miroslav Venhoda",Missa Papae Marcelli,,,SUA 10578,
#3,Charles Hubert Hastings Parry,"Sir Adrian Boult, Sir Adrian Boult",Symphony No. 5 - Symphonic Variations - Elegy For Brahms,,,ASD 3725,
#3,Pavarotti,,The Essential Pavarotti,,,430 210-1,
#3,Peters & Lee,,We Can Make It,,,6308 165,
#3,Cliff Richard,,Wired For Sound,,,EMC 3377,
#3,Cliff Richard,,Wired For Sound,,,EMC 3377,
#3,Cliff Richard,,Private Collection (1979 - 1988),,,CRTV 30,
#3,Cliff Richard,,Everyone Needs Someone To Love,,,SPR90070,
#3,Sibelius,"André Previn, Pittsburgh Symphony Orchestra",Symphony No. 2  In D Op. 43,,,ASD 3414,
#3,Alan Price,,Rising Sun,,,JETLP 227,
#3,Franck Pourcel,and his orchestra,Thinking Of You,,,TWO355,
#3,André Previn,Conducts London Symphony Orchestra - Rodrigo And Angel Romero,Concierto De Aranjuez / Fantasia Para Un Gentilhombre,,,ASD3415,
#3,André Previn,"Robert Tear, London Philharmonic Choir, London Philharmonic Orchestra",Requiem (Grande Messe Des Morts),,2 Record Collection,SLS5209,
#3,Richard Strauss,Vienna Philharmonic* Conducted By André Previn,Till Eulenspiegel / Don Juan / Death And Transfiguration,,,ASD3913,
#3,Leontyne Price,André Previn,Leontyne Price / André Previn,,,ARL1-1029,
#3,Alan Price ,,England My England,,,JETDL 300,
#3,Sigmund Romberg,Paul Weston And His Orchestra,The CBS Album of Sigmund Romberg,,2 Record Collection,C2L-14,
#3,Carmen Dragon,Conducting The Capitol Symphony Orchestra,Romantique,,,T580,
#3,Brendan Shine,"Narciso Yepes, National Orchestra Of Spain, Argenta ; Frühbeck De Burgos",Moonshine,,Signed ,PLAY 1018,
#3,Rodrigo,,Guitar Concerto / Fantasía Para Un Gentilhombre,,,SPA 233,
#3,Various,,40 Non Stop Rock 'n' Roll Hits,,2 Record Collection,MFP 1022,
#3,Cliff Richard,,I'm Nearly Famous,,,FA 3010,
#3,Charlie Rich,,Take Me,,,EPC 81841,
#3,Charlie Rich,,Behind Closed Doors,,,EPC 65716,
#3,Ottorino Respighi,"The Czech Philharmonic Orchestra, Antonio Pedrotti",Feste Romane / Fontane Di Roma,,,SUA 10364,
#3,Shakin' Stevens,,This Ole House,,,EPC 84985,
#3,Neil Sedaka,,The Tra-La Days Are Over,,,2315 248,
#3,Neil Sedaka,,Sounds Of Sedaka,,,MCF 2780,
#3,The Seekers,,The Seekers,,,T 422,
#3,The Seekers ,,The Four & Only Seekers,,,MFP 5025,
#3,The Seekers,,Live At The Talk Of The Town,,,SCX 6278,
#3,The Seekers,,The Best Of The Seekers,,,SCX 6268,
#3,Semprini,,Semprini At Your Request,,,MFP 1079,
#3,Der Günter-Kallmann-Chor,,Elisabeth-Serenade,,,237 310,
#3,The Shadows,,The Shadows At The Movies,,,MFP 50347,
#3,The Shadows,,Mustang,,,MFP 5266,
#3,The Shadows,,Simply... Shadows,,,833 682-1,
#3,The Band Of The Royal Scots Greys,,Second To None,,,TP 70,
#3,Royal Male Choir 'Mastreechter Staar',"Limburg Symphony Orchestra, Martin Koekelkoren",Great Choruses,,,SFL14037,
#3,Sabicas,,Artistry In Flamenco,,,SL 10273,
#3,Lalo / Saint-Saëns / Fauré,"Gaspar Cassado, Bamberg Symphony, Jonel Perlea",Concertos For Cello / Elegie,,,STPL 510.920,
#3,London Symphony Orchestra,Conducted By Sir Eugene Goossens,Scheherazade,,,TP 148,
#3,Franz Schubert,Bavarian Radio Symphony Orchestra* Cond. Eugen Jochum,"Symphony No. 9 In C, Major, Op. Posth.",,,89 511,
#3,Schubert / Mozart,Sinfonia Of London Conducted By Muir Mathieson,"Symphony No. 5 In B Flat Major / Eine Kleine Nachtmusik, Overture Così Fan Tutte",,,SCP 15,
#3,Trompeter-Korps Hans Freese,,Reiterfreuden (Reitermärsche Im Schritt - Im Trab - Im Galopp),,,237 064,
#3,Sid Phillips and his Band,,Hors-d'oeuvres,,DLP,1102,
#3,The  Platters ,,The Platters Live,Produced by Buck Ram ,,6870627,
#3,Pomp and Circumstance,,The World of the Great Classic,,,SPA419,
#3,Porter Wagoner and Dolly Parton,,Two of a Kind,,,LSA3044,
