Box,Artist ,Additional Artist,Album,Sub,Notes,Other markings,
#5,Guiomar Novaes,Chopin,Waltzes (Complete),,,STPL 58170,
#5,Guiomar Novaes,Chopin,"Piano Concerto No. 1 In E Minor, Opus 11",,,STPL 510.710,
#5,The Mormon Tabernacle Choir,The Philadelphia Orchestra,The Best Of The Mormon Tabernacle Choir,,,CBS 61873,
#5,The Mormon Tabernacle Choir,,The Mormon Tabernacle Choir Sings Christmas Carols,,,CBS ‎– 61416,
#5,The Morriston Orpheus Choir,,The Valley In Song,,,TP 719,
#5,Nana Mouskouri,,Christmas With Nana Mouskouri,,,6312-033,
#5,Carlo Maria Giulini,"Mozart, Philharmonia Orchestra, Philharmonia Chorus",Requiem K. 626,,,ASD 3723,
#5,Alan Civil,"With The Royal Philharmonic Orchestra* Conducted By Rudolf Kempe, Wolfgang Amadeus Mozart",The Four Horn Concertos / Concert Rondo (First Full Recording),,,T628,
#5,Various,,The Music Masters,Volume One,,SPR 90029,
#5,Ida Presti & Alexandre Lagoya,,Music For The Classic Guitar,,,H-71161,
#5,London Symphony Orchestra,Conducted By Ezra Rachlin,An Hour Of Musical Masterpieces,,,ADE C 2,
#5,Various,,The Theme From Love Story And Other Great Film Hits,,,SHM 733,
#5,Nicolai Malko,Philharmonia,1812 And Other Famous Overtures,,,MFP 2034,
#5,Manitas De Plata And Manero Baliardo,,Flamenco De Manitas Et De Manero,,,CBS 80037,
#5,Orchestre National De L'Opéra De Monte-Carlo,,Manon Les Plus Belles Pages,,,SMS 2921,
#5,Mantovani And His Orchestra,,Mr. Music...Mantovani,,,SKL 4811,
#5,Mantovani And His Orchestra,,Strauss Waltzes,,,SKL 4010,
#5,Neville Marriner,,Siegfried Idyll / Pavane / Andante Cantabile / Two Elegiac Melodies / Nocturne / Minuet,,,ASD 3943,
#5,Rick Nelson,,The Very Best Of Rick Nelson,,,SLS 50164,
#5,Frankie Laine,With Paul Weston And His Orchestra,Your Cheatin' Heart / I Believe,,No Cover/Sleeve,B 21009 H,
#5,Pat Boone,,Remember You're Mine,,No Cover/Sleeve,HL-D 8479,
#5,The Torero Band ‎,,Lennon & McCartney Tijuana Style,,, MFP 1318,
#5,John Lennon ,,The John Lennon Collection,,,"EMTV 37, EMI ‎– OC 262-78 224",
#5,Franz Marszalek & The Vienna Ball Orchestra,, Viennese Waltzes,,, 583 505,
#5,Anne Murray,, I'll Always Love You,,, E ST-12012,
#5,Los Claudios ,,Weekend With Los Claudios,,,HI-FI 46420,
#5,Neil Richardson And His Orchestra ‎,,Music From The Sensationally Romantic Film: Love Story,,,MFP STERO 5189,
#5,Guy Mitchell ‎,, 20 Golden Greats,,, PR 5066,
#5,Roger Miller ,, The One And Only,,,CDS 1005,
#5,Roger Miller ‎,,Walkin' In The Sunshine,,,SBL 7822,
#5,Roger Miller ‎,,The 3rd Time Around,,,SFL.13014,
#5,Glenn Miller And His Orchestra ‎,,The Unforgettable Glenn Miller,,,TVL43001,
#5, Louis Armstrong And The Allstars,The Universal-International Orchestra ,The Glenn Miller Story,,,MCF 3273,
#5,Miki & Griff ,,Country,,,NSPL 18588,
#5,Miki & Griff ,, I Want To Stay Here,,,GGL 0230,
#5,Yehudi Menuhin ‎,,Introduces The Instruments Of The Orchestra,,,SMF 235,
#5,"Mendelssohn* And Bruch*, Ricci",,"London Symphony Orchestra*, Gamba* ‎– Violin Concertos",,,SXL.2006,
#5,Mendelssohn,"The Leipzig Gewandhaus Orchestra*, Franz Konwitschny","Symphony No.3 In A Minor, Op. 56 'Scottish'",,,T. 507,
#5,Max Bygraves,,Singalongachristmas With Max,,,HMA 265,
#5,Johnny Mathis ,,You've Got A Friend (Today's Great Hits),,,C 30740,
#5,Johnny Mathis ‎,,Johnny Mathis,,,CHM 684,
#5,Johnny Mathis,, Johnny Mathis Sings Of Love,,,SHM 749,
#5,Johnny Mathis,,I'm Coming Home,,,65690,
#5,Mireille Mathieu ,, Olympia,,,SCX 6391,
#5,Lena Martell ‎,,That Wonderful Sound Of,,,NSPL 18427,
#5,Lena Martell ‎,,The World Of Lena Martell,,,SPA 246,
#5,Lena Martell ,,Beautiful Sunday,,,RTL 2052,
#5,Lena Martell ,,From Lena Martell With Very Special Love,,,NSPL 18513,
#5,Lena Martell ,,The Magic Of Lena Martell,,,NSPL 18466,
#5,"Mahler*, London Symphony Orchestra",Conducted By Leopold Ludwig,Symphony No. 9,,,SCM. 16-17,
#5,Johnny McEvoy,,Since Maggie Went Away,,,MCF 3274,
#5,Sullivan,Royal Philharmonic Orchestra,Pineapple Poll,,1962,CSD 1399,
#5,Giacomo Puccini,,Highlights From Madama Butterfly (Illica & Giacosa),,,ALP 2060,
#5,Mahler, Sir Adrian Boult Conducting The London Philharmonic Orchestra*,Symphony No. 1 In D Major,,,CMP. 31,
#5,Mahler,"James Levine (2), The London Symphony Orchestra ‎", Symphony No. 1 In D Major,,,ARL10894,
#5,Mahler,"Leonard Bernstein, New York Philharmonic* / Jennie Tourel",Symphony No. 5 In C-Sharp Minor / Kindertotenlieder,,2 RECORDS,"CBS ‎– 72182, CBS ‎– 72183",
#5,Cynthia Glover / John Lawrenson ,With The Children's Choir (2) ‎, My Own Nursery Rhyme Record,,,MFP 1192,
#5,The Nashville Chorale ‎,, The Nashville Chorale Sings The Charlie Rich Songbook,,,ABCL 5103,
#6,Adolf Scherbaum,,Five Famous Concertos For Trumpet,,,SDJ 104 433,
#6,W.A. Mozart,,Don Giovanni,,,LPEM 19224,
#6,Wilhelm Kempff,"Brahms, Schumann",Balladen Op. 10 / Romanzen,,,2530 321,
#6,Wagner,"Karajan, Berliner Philharmoniker",Tristan Und Isolde / Tannhäuser / Die Meistersinger Von Nürnberg,,,413 754-1,
#6,Anton Bruckner,,Bruckner Symphony No1 RSO Berlin Chailly,,,421 091-1,
#6,Bucks Fizz,,Are You Ready?,,,"RCALP 8000	",
#6,Bucks Fizz,,Bucks Fizz,,,RCA LP 5050,
#6,Buck Owens And His Buckaroos,,Roll Out The Red Carpet,,,T 2443,
#6,Jean Sibelius,"Berliner Philharmoniker, Herbert von Karajan","Symphonien Nr.6 In D Minor, Nr.7 In C Major",,,139 032,
#6,Jean Sibelius,Berliner Philharmoniker · Herbert von Karajan,"Finlandia · Valse Triste · Der Schwan Von Tuonela, Tapiola",,,139 016,
#6,"Chopin, Schubert","Tamás Vásáry, Amadeus-Quartett, Trio Di Trieste, Jörg Demus",Music Of The Romantic Era,,,104 407,
#6,Offenbach / Gounod,Berliner Philharmoniker • Herbert von Karajan,Gaîté Parisienne / Ballettmusik Und Walzer Aus Margarete (Faust),,,2530 199,
#6,Brahms,"Herbert von Karajan, Berliner Philharmoniker",Symphonie Nr. 2,,,138925,
#6,Berlin Philharmonic,,Light Cavalry: Favourite Overtures by Suppe And Rossini,,,2535629,
#6,Giuseppe Verdi,"Orchester* Und Chor Der Mailänder Scala*, Tullio Serafin",Il Trovatore,,,136 277,
#6,Beethoven,"Vienna Philharmonic, Karl Böhm",Symphony No. 4,,,2530 451,
#6,Beethoven,"Christian Ferras, Herbert von Karajan, Berlin Philharmonic",Violin Concerto,,,139 021,
#6,Frédéric Chopin,Maurizio Pollini,Études Op. 10 & Op. 25,,,2530 291,
#6,Brian Inglis,,Sounds Of All Our Yesterdays,,,XTRA 1161,
#6,The London Symphony Orchestra,Conducted By Ezra Rachlin,All-Time Classics,,,ADE C1,
#6,Robert Merrill,Stanley Black Conducting The London Festival Orchestra And Chorus,Americana,,,PFS 4069,
#6,Chopin,Liszt / Agustin Anievas,Sonata No. 3 In B Minor / Sonata In B Minor,,,HQS 1246,
#6,Louis Armstrong,,Great Original Performances 1923 - 1931,,,REB 597,
#6,Franco Corelli,,Sings Great Religious Arias,,,T 869,
#6,Arnold Van Mill,,Sings Favourite Opera Arias,,,GL5651,
#6,Herb Alpert & The Tijuana Brass,,The Beat Of The Brass,,,AML 916,
#6,Richard Strauss,"Karajan, Berliner Philharmoniker",Eine Alpensinfonie (An Alpine Symphony),,,2532 015,
#6,Herb Alpert And The Tijuana Brass,,Christmas With Herb Alpert And The Tijuana Brass,,,AMLB 51026,
#6,The Allman Brothers Band,,Brothers And Sisters,,,47507,
#6,Paul Anka,,Diana (Paul Anka Sings His Greatest Hits),,,INTS 1032,
#6,Giovanni Pierluigi Da Palestrina,"Regensburger Domchor, Hans Schrems","Missa ""Hodie Christus Natus Est"" Improperia",,,198 343,
#6,"Sir Malcolm Sargent, B.B.C. Symphony Orchestra*, Joan Hammond, Shura Cherkassky",,An Evening At The Proms,,,ASD. 536,
#6,"Verdi, Tebaldi, Bergonzi, Simionato, MacNeil, Vienna Philharmonic, Von Karajan",,Aida Highlights,,,LXT 5597,
#6,James Last,Astrud Gilberto,Plus,,Promo Copy,POLD 5207,
#6,Augusto Algueró,,Sounds Spectacular,,,184 147,
#6,Lynn Anderson,,I've Never Loved Anyone More,,,CBS 80998,
#6,Lynn Anderson,,You're My Man,,,CBS 64468,
#6,"Canteloube, Chausson","Victoria De Los Angeles, The Lamoureux Orchestra (Paris), Jean-Pierre Jacquillat",Songs Of The Auvergne / Poème De L'Amour Et De La Mer ‎,,,ASD 2826,
#6,J. S. Bach,Stuttgart Choir And Orchestra Conducted By Marcel Couraud,"Cantata No. 140 ('Wachet Auf Ruft Uns Die Stimme') / Cantata No. 150 ('Nach Dir, Herr, Verlanget Mich')",,,CM 24,
#6,Bach,"Teresa Żylis-Gara, Patricia Johnson, Theo Altmeyer, Dietrich Fischer-Dieskau With The South German Madrigal Choir & South-West German Chamber Orchestra Conducted By Wolfgang Gönnenwein",Easter Oratorio,,,ST 950,
#6,Strings For Pleasure,,Strings For Pleasure Play The Best Of Bacharach,,,MFP 1431,
#6,Ronnie Aldrich And His Two Pianos,With The London Festival Orchestra,The World Of Burt Bacharach,,,SPA 193,
#6,Chris Barber,,The Great Re-union Concert,,,BLP 12140/1,
#6,Tony Bennett,,A Time For Love,,,BPG 62800,
#6,Tony Bennett,,With Love,,No Cardboard Sleeve,S 64849,
#6,Tony Bennett,With The Ralph Sharon Trio ,When Lights Are Low,,,BPG 62296,
#6,Acker Bilk,His Clarinet And Strings,Evergreen (20 All Time Greats),,,PW5045,
#6,Acker Bilk,And His Paramount Jazz Band,Mr. Acker Bilk Plays,,,PRE 683,
#6,Acker Bilk, And His Paramount Jazz Band,Mama Told Me So,,,N128,
#6,Acker Bilk,His Clarinet And Strings,Free,,,NSPLX 41056,
#6,Acker Bilk,And His Paramount Jazz Band,Extremely Live In Studio One (On A Cold April Night),,,NSPL 18569,
#6,Acker Bilk,His Clarinet & Strings,Meanwhile......,,,NSPLX 41055,
#6,Acker Bilk,His Clarinet And Strings,Invitation,,,NSPLX 41054,
#6,Acker Bilk,And His Paramount Jazz Band,On Stage,,,STOL 101,
#6,Billie Jo Spears,,Billie Jo,,,UAS 29897,
#6,Ravel / Dukas / Falla / Chabrier,Vienna State Opera Orchestra* Conducted By Hermann Scherchen,Bolero / Sorcerer's Apprentice And Works By Falla And Chabrier,,,TP 355,
#6,Aldo Parisot,"Baltimore Conservatory Orchestra, Reginald Stewart",Boccherini: Cello Concerto In B Flat Major/Vivaldi: Cello Concerti In E Minor & A Minor,,,XID 5258,
#6,Max Boyce,,"""Not That I Am Biased...""",,,MAX 1002,
#6,David Oistrakh / George Szell,The Cleveland Orchestra,Brahms Violin Concerto,,,ASD 2525,
#6,Brahms,"William Steinberg, Pittsburgh Symphony Orchestra","Symphony No. 2 In D, Opus 73",,,11002,
#6,Brahms,"Nathan Milstein, Philharmonia, Fistoulari",Violin Concerto,,,T 597,
#6,Brahms,"Bruno Walter, Columbia Symphony Orchestra",Symphony No. 3 In F / Tragic Overture,,,72090,
#6,Various,,Break-Through - An Introduction To Studio Two Stereo,,,STWO 1,
#6,"June Bronhill, David Knight",,The Dancing Years,,,INTS 1049,
#6,Anton Bruckner,"Corydon Singers, English Chamber Orchestra Wind Ensemble, Matthew Best","Mass In E Minor, Libera Me, Zwei Aequale",,,A66177,
#6,Anton Bruckner,"The Philadelphia Orchestra, Eugene Ormandy",Symphony No. 7 In E,,,LSC-3059,
#6,Anton Bruckner,,Symphony No 7 In E Major,,,RL 31347,
#6,Chris Barber,s Jazz Band,Chris Barber At The London Palladium,,,MFP 1039,
#6,Chris Barber,,The Best Of,,,820 230-1,
#6,Kenny Ball,And His Jazzmen,Let's All Sing A Happy Song,,,NSPL 18415,
#6,Chris Barber's Jazz Band / Mr. Acker Bilk's Paramount Jazz Band,,The Best Of Barber And Bilk Volume 2,,,GGL 0096,
#6,Chris Barber,,The Chris Barber Story Volume 1,,,BLM 51003,
#6,Chris Barber,,The Chris Barber Story Volume 2,,,BLM 51004,
#6,Ottilie Patterson,With Chris Barber,Madame Blues & Doctor Jazz!,,,BLM 51101,
#6,The Chris Barber Band,With Louis Jordan And Edmond Hall,The Best Of Both Worlds,,,T 368,
#6,Daniel Barenboim,"Brahms, New Philharmonia Orchestra, Sir John Barbirolli",Piano Concerto No. 1,,,SXLP 30283,
#6,Shirley Bassey,,What I Did For Love,,,UAG 30280,
#6,Count Basie Orchestra,Billy Eckstine,Basie-Eckstine Incorporated,,,T 398,
#6,The world of opera,Beethoven, Highlights from Fidelio,,,OH 107,
#6,Gilbert Becaud,,A Little Love And Understanding,,,SKL-R 5209,
#6,Sidney Bechet,,Sidney Bechet And The New Orleans Feetwarmers Vol. 3,,,SM 3573,
#6,Beethoven,"Radu Lupu, Israel Philharmonic Orchestra, Zubin Mehta","Piano Concerto No.5 ""Emperor""",,,SXDL 7503,
#6,Beethoven,"Josef Chuchro, Alfred Holeček",Cello Sonatas Op. 5,,,SUA ST 50534,
#6,The Beach Boys,,Best Of The Beach Boys,,Damaged Cardboard Cover,ST 20856,
#6,Beethoven,"Vienna Philharmonic, Schmidt-Isserstedt","Symphony No. 6 - ""Pastoral"", Egmont Overture",,,SXL 6329,
#6,Beethoven,"Pittsburgh Symphony Orchestra, Steinberg","Beethoven's 5th - Symphony No 5 In C Min, Op 67",,,MFP 2104,
#6,Beethoven,"Israel Philharmonic Orchestra, Zubin Mehta",The Creatures Of Prometheus (Ballet Music),,,SXL 6438,
#6,Beethoven,London Symphony Orchestra Conducted By Josef Krips,Symphony No. 3 (Eroica),,,TP 74,
#6,Beethoven,"Vienna State Opera Orchestra, Hermann Scherchen",Christ On The Mount Of Olives,,,T 406,
#6,Philomena Begley,,More About Love,,,RITZLP 0040,
#6,The Pipes And Drums And Military Band Of The Scottish Division,,Amazing Grace,,,CDS 1116,
#6,Don Kosaken Chor Serge Jaroff ,,Ave Maria,,,136544,
#6,Franz Schubert," Marga Hoeffgen*, Ernst Haefliger, Hermann Uhde, Regensburger Domchor",Messe Nr. 5 As-Dur D. 678,,,LMP 139 108,
#6,Giuseppe Verdi,"Renata Scotto, Giuliana Tavolaccini, Armanda Bonato, Gianni Raimondi, Ettore Bastianini ",La Traviata (In Italiano),,,"136 276,",
#6,Peter Tschaikowksy,Berliner Philharmoniker · Herbert von Karajan ,Symphonie Nr.6 h-moll »Pathétique«,,,138 921 SLPM,
#6,Beethoven, The London Symphony Orchestra ,Symphony No 1 In C Major Op 31; Symphony No 9 In D Minor Op 125,,,ST 163,
#6,Carl Orff,, Carmina Burana,,, SUA ST 50028,
#6,Tommy Burton & The Sporting House Club,,Rag Time,,,WMD 222,
#6, Bunk Johnson And His Superior Jazz Band,, Bunk Johnson And His Superior Jazz Band,,, LAG 545,
#6,Webley Edwards,,"Hawaii Calls"", Blue Skies Of Hawaii",,,ST 2782,
#6,Anton Bruckner ‎,, Bruckner Symphony No1 RSO Berlin Chailly.,,, 421 091-1,
#6,Anton Bruckner, Berlin Philharmonic Orchestra,Symphony No. 8,,,ST 772,
#6,Boxcar Willie ‎,,Boxcar Willie,,, BRA 1001,
#6,Bee Gees,,E•S•P,,, 925 541-1,
#6,The Beach Boys ‎,, 20 Golden Greats,,,OC 062 o 82232,
#6,Animals,,The Most Of,,,MFP 5218,
#7,Eagles,,The Best Of Eagles,,,EKT 5,
#7,Various,,Easy Listening,,2 Record Collection,"	2675 002",
#7,Billy Eckstine,,Senior Soul,,,2325 084,
#7,Orchester Kurt Edelhagen,,Big Band Swing,,,583 509,
#7,George Weldon,"The Royal Philharmonic Orchestra, The Pro Arte Orchestra",George Weldon Conducts Elgar,,,T 296,
#7,Elgar,"Jacqueline Du Pré, Daniel Barenboim, Philadelphia Orchestra, London Philharmonic Orchestra","Cello Concerto, Op. 85 / Enigma"" Variations",,,76529,
#7,Elgar,"Sir John Barbirolli, Hallé Orchestra",Symphony No. 2,,,ASD 2749,
#7,Elgar,"Philharmonia Orchestra, Sir John Barbirolli",Symphony No.1 In A Flat Major,,,ASD 2748,
#7,Elgar,Vaughan William - William Steinberg Conducting The Pittsburgh Symphony Orchestra,Enigma Variations / Fantasia On A Theme By Thomas Tallis,,,MFP 2025,
#7,Elvis Presley,,Elvis Love Songs (20 Original Songs),,,NE 1062,
#7,The Everly Brothers,,The Very Best Of The Everly Brothers,,,K 46008,
#7,Barbara Fairchild ,,This Is Me,,,CBS 83177,
#7,Manuel De Falla,Heitor Villa-Lobos,The Three-Cornered Hat / The Little Train Of The Caipira,,,TP 164,
#7,The Bach Choir,,Family Carols,,,1749,
#7,Hush,,Family Favourites,,,SAM 1,
#7,Various,,Famous Orchestral Works,,,SUB 10065,
#7,Various,,20 Fantastic Hits By The Original Artists Volume Two,,,2891 002,
#7,Gabriel Fauré,"Jocelyne Chamonin, George Abdoun, Chorale des Jeunesses Musicales de France, Orchestre Des Concerts Colonne, Louis Martini",Requiem Op. 48,,,STPL 512.720,
#7,Gounod,"Thomas / Ponchielli - Paris Conservatoire Orchestra, Anatole Fistoulari",Faust Ballet Music / Mignon Overture / Dance Of The Hours,,,ACL 112,
#7,Antonín Fils,Missa Solemnis,Christmas Carols Of European Nations,,,SUA ST 50517,
#7,Foster & Allen,,A Bunch Of Thyme,,,RITZ SP 408,
#7,Various,,The Four Seasons Of Medley,,,RDES 4023,
#7,The Four Seasons,Featuring The 'Sound' Of Frankie Valli,The Big Ones,,,6336 208,
#7,Freddie 'Fingers' Lee,,Ol' One-Eye's Back!,,,CR 30178,
#7,Billy Fury,,The World Of Billy Fury,,,SPA 188,
#7,James Galway,"Mozart, Rudolf Baumgartner Conducting The Festival Strings,Lucerne",The Two Flute Concertos / Andante For Flute And Orchestra,,,LRL1 5109,
#7,The 50 Guitars Of Tommy Garrett,,The 50 Guitars Of Tommy Garrett,,,LBX 1E,
#7,Gary Puckett And The Union Gap,,Young Girl,,,CS 9664,
#7,Ladi Geisler,,Guitar À La Carte,,,249 202,
#7,Gershwin,"William Steinberg, The Pittsburgh Symphony Orchestra, Jesus Maria Sanroma",Rhapsody In Blue / American In Paris,,,TP 75,
#7,Max Greger And His Orchestra,,Moon River,,2 Record Collection, 583 569,
#7,Bert Kaempfert And His Orchestra,Max Greger And His Orchestra,One More Sunrise,,,LPHM 46328,
#7,Max Greger Und Sein Enzian-Sextett,,Hüttenzauber: Max Greger Und Sein Enzian-Sextett Spielen Zum Après-Ski,,,237 143,
#7,Max Greger Und Sein Orchester,,Greger In Rio,,,249 112,
#7,Max Greger,,This Is Max Greger,,,643 318,
#7,Fernando Germani ,,"Organ Recital At Selby Abbey, Yorkshire",,,CSD. 1449,
#7,Don Gibson,,Country Number One !,,,WW 5079,
#7,Various,"Madge Stephens, Helen Landis, Andy Cole, Nicholas Curtis, John Camburn, Mike Sammes, Mike Sammes Singers And The Mike Sammes Orchestra, John Gregory",The Best Of Gilbert And Sullivan,,,SFL13000,
#7,Adam,"Orchestre National De L'Opéra De Paris, Richard Blareau, Pierre Ladhuie",Giselle - Ballet,,, ACL 79,
#7,The Glasgow Phoenix Choir,,Will Ye No Come Back Again?,,,TP 621,
#7,Glière,"Harold Farberman, The Royal Philharmonic Orchestra",Ilya Murometz (Symphony No.3),,,PCM 500/13,
#7,Heinz Schachtner,,Golden Trumpet Hits,,,184 052,
#7,Ron Goodwin,& His Orchestra,Christmas Wonderland,,,TWO 189,
#7,Gounod,"Pilar Lorengar, Heinz Hoppe, Jean-Claude Hartemann, Choeurs René Duclos, Paris Conservatoire Orchestra",Saint Cecilia Mass,,,SXLP.30206,
#7,"Starlight Strings Of The New Hollywood Orchestra, The",,Great Film Themes No. 4,,,MFP 1297,
#7,Various,,Great Hits Of The 60's,,,6870 618,
#7,Various,,The Greatest Hits Of Christmas,,,30046,
#7,Various,,Greece Is...Bouzouki,,,PSCXG 501,
#7,Tacticos And His Bouzoukis,,Music From The Greek Islands,,,MFP 1233,
#7,Tacticos And His Bouzoukis,,Music From The Greek Islands,,,MFP 1233,
#7,Guitars Galore,,Play Hits Of Gilbert O'Sullivan,,,DJSL.046,
#7,Kálmán ,"Mimi Coertse, Karl Terkal, Friedl Loor, Chorus* And Orchestra Of The Vienna Volksoper* Conducted By Hans Hagen",Highlights From The Gypsy Princess,,,ERO 8003,
#7,Merle Haggard,And The Strangers,Eleven Winners,,,ST-11745,
#7,Robin Hall And Jimmie MacGregor,,By Public Demand,,,FJL 502,
#7,Juanita Hall,,The Original Bloody Mary Sings The Blues,,,SOC 971,
#7,Juanita Hall,,The Original Bloody Mary Sings The Blues,,,SOC 971,
#7,Various,,Impact,,,STWO 2,
#7,Bakerloo Junction,,Irish Songs and Ballads,,,GES 1231,
#7,Charles Ives,William Masselos,Piano Sonata No. 1,,,SB-6709,
#7,Tom Jones,,Somethin' 'Bout You Baby I Like,,,SKL 5197,
#7,Tim Rice And Andrew Lloyd Webber,,Jesus Christ - Superstar Highlights From The Rock Opera,,,MFP 5280,
#7,Jack Jones,,All To Yourself (Twenty Golden Greats),,,TVL 43002,
#7,Thad Jones / Mel Lewis,,Thad Jones / Mel Lewis,,2 Record Collection,BND 4004,
#7,The Gunter Kallmann Chorus,,Once In Each Life,,,583 573,
#7,Günter Kallmann,,This Is Gunter Kallmann,,,2414 007,
#7,Bert Kaempfert And His Orchestra,,Tenderly,,,583 558,
#7,Bert Kaempfert,,This Is Bert Kaempfert,,,104699,
#7,Herbert Rehbein & His Orchestra,,Bert Kaempfert Presents Love,,,46 444,
#7,Herbert Rehbein & His Orchestra,,Love After Midnight,,,184 078,
#7,Bert Kaempfert & His Orchestra,,Living It Up,,,237 599,
#7,Bert Kaempfert & His Orchestra,,Christmas With Bert Kaempfert,,,104 693,
#7,Bert Kaempfert & His Orchestra ,,The Relaxing Sound Of Bert Kaempfert,,,583501,
#7,Bert Kaempfert &  His Orchestra,,Wonderland By Night,,,46 353,
#7,Bert Kaempfert & His Orchestra,,Love Letters,,,583 559,
#7,Bert Kaempfert & His Orchestra,,Safari Swings Again,,,2310 494,
#7,Bert Kaempfert & His Orchestra,,Yesterday And Today,,,2310 273,
#7,Bert Kaempfert,,Bert Kaempfert Now!,,,2310 137,
#7,The Anita Kerr Singers,,Simon And Garfunkel Songbook,,,6303 005,
#7,Beethoven,,"Herbert von Karajan Conducting The Philharmonia Orchestra, Elisabeth Schwarzkopf","Symphony No. 4 In B Flat / Ah, Perfido!",,33CX 1278,
#7,Kiri Te Kanawa,,Christmas With Kiri,,,414 632-1,
#7,Gladys Knight And The Pips,,30 Greatest,,,NE 1004,
#7,Cherry Wainer,,Hammond Organ Light And Lively,,,583 570,
#7,Handel,Jean-François Paillard & Orchestra,Water Music,,,GL 25241,
#7,Handel,Boyd Neel Orchestra Conducted By Boyd Neel,The Water Music,,,ACL 19,
#7,Brian Dee,,The Happy Hammond Plays All Time Great Movie Themes,,,SHM 814,
#7,Emmylou Harris,,Her Best Songs,,,NE 1058,
#7,George Harrison,,The Best Of George Harrison,,,MFP 50523,
#7,Alfred Hause,,Tango,,,184 079,
#7,Joseph Haydn,"Berliner Philharmoniker, Hans Rosbaud",Symphony No. 92 in G Major (Oxford) / Symphony No. 104 in D Major (London),,,478 425,
#7,Heintje,,When The Christmas Bells Are Ringing,,,2344 021,
#7,Herman's Hermits,,20 Greatest Hits,,,NE 1001,
#7,Vince Hill,With Alyn Ainsworth And His Orchestra,Thanks A Million,,,EMC 3034,
#7,Various,,Alan Freeman's History Of Pop,,2 Record Collection,ADEP 9/10,
#7,Various,,Hitscene '76,,,CBS ‎5023,
#7,Unknown Artist,,Hitsville,,,GGL 0202,
#7,Lynn Holland,,Oh Darling How I Miss You,,,236 217,
#7,A. Honegger,"Czech Philharmonic Orchestra, Serge Baudo",Symphonies No. 2 And No. 3,,,SUA ST 50027,
#7,Gustav Holst,"Leopold Stokowski, Los Angeles Philharmonic Orchestra",The Planets,,,MFP 2014,
#7,Buddy Holly And The Crickets,,The Buddy Holly Story,,,LVA 9105,
